age,Sexe,Situation,Ville,Profession,UtilisateurPotentiel,TypeContrat
45,Homme,Célibataire,Ariana,Employé(e),Oui,Contrat de location ou de vente de voiture
29,Homme,Célibataire,La Mannouba,Employé(e),Non,Contrat de travail (CDI- CDD- CIVP)
38,Homme,Célibataire,Mahdia,Cadre,Non,Contrat de travail (CDI- CDD- CIVP)
38,Homme,Marié(e),Ben Arous,Cadre,Oui,Contrat de travail (CDI- CDD- CIVP)
35,Femme,Marié(e),Tunis,Cadre,Non,Contrat de travail (CDI- CDD- CIVP)
37,Femme,Célibataire,Ben Arous,Cadre,Non,Contrat de location ou de vente de voiture
36,Femme,Marié(e),Bizerte,Employé(e),Oui,Contrat de location ou de vente de voiture
29,Femme,Célibataire,Ariana,Freelancer,Oui,Contrat Freelancer
35,Homme,Célibataire,Ariana,Employé(e),Oui,Contrat de location ou de vente de voiture
26,Homme,Célibataire,Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
37,Homme,Célibataire,Tunis,Employé(e),Oui,Contrat d'assurance voyage
39,Homme,Divorcé(e),Tunis,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
47,Femme,Marié(e),Ariana,Employé(e),Non,Contrat d'assurance voyage
58,Femme,Marié(e),Tunis,Sans emploi,Non,Contrat d'assurance voyage
63,Homme,Marié(e),Nabeul,Retraité(e),Oui,Contrat de vente ou d'achat de materiels
32,Homme,Célibataire,Ariana,Freelancer,Oui,Contrat de location ou de vente de Bien immobilier
45,Homme,Marié(e),Ariana,Employé(e),Non,Contrat Freelancer
28,Homme,Célibataire,Le Kef,Cadre,Oui,Contrat de travail (CDI- CDD- CIVP)
23,Homme,Célibataire,Ariana,Sans emploi,Non,Attestation de Stage
23,Homme,Célibataire,Ariana,Sans emploi,Non,Attestation de Stage
27,Homme,En Couple,Tunis,Employé(e),Oui,NDA- Accord de Non Divulgation
26,Homme,En Couple,Ariana,Employé(e),Oui,NDA- Accord de Non Divulgation
33,Homme,Célibataire,Tunis,Employé(e),Oui,Contrat de vente ou d'achat de materiels
39,Homme,Marié(e),Tunis,Employé(e),Non,Contrat de location ou de vente de voiture
25,Femme,Célibataire,Tunis,Sans emploi,Non,Attestation de Stage
24,Femme,Célibataire,Ariana,Sans emploi,Non,Attestation de Stage
27,Femme,En Couple,La Mannouba,Employé(e),Non,Contrat de location ou de vente de voiture
35,Femme,Marié(e),Bizerte,Cadre,Oui,Contrat de vente ou d'achat de materiels
40,Femme,Marié(e),Ariana,Cadre,Oui,Contrat de vente ou d'achat de materiels
42,Homme,Marié(e),Tunis,Cadre,Non,Contrat de location ou de vente de voiture
25,Femme,En Couple,Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
40,Homme,Marié(e),Tunis,Employé(e),Non,Contrat de vente ou d'achat de materiels
24,Femme,En Couple,Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
25,Homme,Célibataire,Tunis,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
57,Femme,Marié(e),Ariana,Employé(e),Non,Contrat d'assurance voyage
40,Homme,Marié(e),Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
26,Femme,En Couple,Nabeul,Employé(e),Non,Contrat de travail (CDI- CDD- CIVP)
22,Femme,Célibataire,Tunis,Sans emploi,Non,Attestation de Stage
